Customer_care_calls,Customer_rating,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block,Mode_of_Shipment,Product_importance,Gender,Class
5,5,3,5,5673,a,ship,low,f,1
4,2,2,6,2965,c,flight,medium,f,1
3,1,3,2,5760,c,road,low,m,0
3,3,3,24,3262,b,ship,low,m,1
4,5,2,8,4463,f,ship,low,f,0
5,3,3,7,4293,f,road,medium,m,0
3,1,5,9,5196,b,ship,low,f,1
4,3,5,8,1702,c,flight,low,f,1
5,4,3,35,2899,c,ship,low,f,1
4,3,5,8,1756,d,road,low,f,0
3,3,3,4,4111,d,ship,medium,m,1
5,4,5,4,1948,d,road,medium,f,0
4,5,3,2,5791,f,ship,medium,m,1
3,5,4,6,5386,b,ship,low,m,0
4,1,3,10,4382,f,flight,low,m,0
6,3,3,10,5208,d,ship,medium,f,0
3,3,2,9,4690,f,ship,low,f,0
3,1,2,49,3573,b,ship,medium,f,1
3,2,2,38,3850,f,flight,low,f,1
5,2,3,2,4836,a,ship,medium,m,0
3,2,2,49,3749,f,ship,low,f,1
4,4,3,1,4717,f,road,medium,f,0
2,5,5,7,5780,f,flight,medium,m,0
4,5,5,8,1841,f,ship,low,m,0
3,4,2,12,1694,b,road,medium,m,1
3,2,2,1,4350,b,road,low,f,1
5,4,3,4,5873,a,ship,medium,m,0
6,4,4,10,1512,f,ship,low,f,0
3,1,3,7,4275,c,flight,medium,m,1
4,5,3,2,4336,a,ship,low,f,1
3,2,2,7,4692,d,ship,low,f,0
4,5,3,24,1513,c,ship,low,f,1
4,2,4,5,5751,a,flight,medium,f,0
4,3,2,3,5765,f,road,low,f,1
3,1,3,45,3624,d,road,low,f,1
2,2,4,7,4598,a,road,medium,m,0
4,1,4,1,5480,b,flight,medium,m,0
4,4,6,6,5282,f,ship,medium,m,0
4,2,2,9,5684,c,road,high,f,0
3,5,4,9,5311,f,ship,high,m,0
3,3,2,9,5554,a,flight,high,f,1
3,5,3,3,4435,d,road,medium,f,1
5,3,5,8,1223,f,ship,medium,m,1
6,4,3,6,4649,d,road,low,m,0
4,5,2,54,2526,d,ship,low,m,1
3,3,2,2,5923,c,ship,low,m,0
4,1,5,10,4944,a,road,low,m,0
3,2,2,5,5747,c,flight,low,m,1
6,3,4,3,1276,a,ship,low,m,0
4,4,2,58,1038,c,flight,medium,m,1
3,5,3,3,4072,d,ship,medium,m,0
4,2,2,17,3358,c,ship,high,m,1
4,5,2,8,5652,d,ship,low,m,0
5,4,4,1,4183,d,ship,high,m,0
5,4,6,1,1177,a,road,medium,f,0
4,2,3,10,4309,c,road,low,m,1
6,2,6,7,2437,f,ship,medium,m,1
4,4,2,1,4357,c,road,medium,m,0
5,3,6,7,1064,f,ship,low,m,0
3,4,3,1,4273,d,ship,high,f,1
4,2,3,21,1637,f,ship,low,m,1
3,3,3,6,5482,d,flight,low,f,1
5,4,3,42,3145,b,ship,medium,m,1
6,2,5,8,1045,f,ship,low,m,0
4,3,3,3,5624,f,flight,high,f,0
4,3,3,2,4437,f,ship,low,m,1
5,2,3,6,5212,f,ship,medium,m,0
4,1,5,1,4624,d,ship,medium,f,1
5,3,6,8,1932,f,ship,low,m,0
2,4,3,5,1920,f,road,low,m,1
3,5,2,44,1585,b,ship,low,f,1
3,4,3,9,4889,b,ship,low,f,1
6,3,4,10,1495,c,ship,low,f,0
4,2,6,2,5476,b,road,medium,m,0
4,2,2,10,5666,a,flight,medium,f,1
3,3,2,3,4824,f,flight,medium,f,0
6,5,4,20,1338,b,ship,medium,f,1
2,1,3,1,4537,b,flight,low,m,0
4,4,4,7,5609,f,road,medium,f,1
4,2,5,8,1021,d,ship,low,m,0
4,2,3,5,4282,f,ship,high,m,0
6,4,5,5,1180,a,ship,low,m,0
6,5,4,1,1159,c,ship,medium,m,0
2,4,2,30,3955,c,ship,low,f,1
4,1,5,4,1953,f,ship,medium,m,0
4,1,4,34,3813,c,flight,low,m,1
5,3,3,1,5719,c,road,medium,f,0
5,1,2,8,5198,c,ship,low,m,1
3,3,2,24,2749,d,ship,medium,f,1
3,3,2,3,5836,b,flight,medium,m,0
4,3,3,15,1080,f,ship,medium,m,1
4,3,2,4,5855,f,ship,low,m,0
2,3,2,28,3514,f,flight,medium,m,1
4,1,4,5,4142,b,ship,high,m,1
2,3,3,8,1172,a,road,low,f,0
5,5,3,3,5837,b,road,high,f,1
5,5,5,5,4078,a,flight,low,m,0
4,1,2,7,5098,f,ship,medium,f,0
2,3,2,2,4566,f,flight,medium,m,0
4,2,3,53,1185,c,ship,medium,f,1
5,3,4,3,3734,f,ship,low,m,1
4,4,5,7,4070,f,ship,medium,m,1
3,5,2,20,1021,c,ship,low,f,1
6,1,3,64,2705,f,ship,medium,m,1
3,4,4,8,4944,b,flight,medium,f,0
6,2,3,2,4071,d,road,low,m,0
3,5,10,31,2724,c,ship,medium,f,1
4,4,3,34,1977,f,flight,low,m,1
6,1,4,5,5235,c,road,medium,m,1
4,2,4,5,1679,c,ship,medium,f,0
5,4,8,3,4046,b,flight,low,m,0
5,4,5,23,3398,b,ship,medium,f,1
3,1,3,1,4347,c,flight,low,m,0
5,2,6,6,1610,d,road,low,m,0
5,5,5,10,5297,a,ship,medium,m,0
6,3,4,5,1784,f,ship,low,m,0
4,4,2,33,2897,c,flight,medium,f,1
4,5,3,12,1672,b,ship,medium,m,1
4,5,2,7,4594,a,ship,medium,f,1
7,2,4,8,1477,d,ship,medium,f,1
6,1,4,5,1791,f,ship,medium,m,1
2,1,4,7,5573,d,ship,low,m,1
4,3,2,2,5588,f,road,medium,f,0
2,1,10,1,5622,b,ship,high,f,0
5,4,2,38,1803,d,ship,medium,m,1
3,5,4,1,4432,a,ship,low,f,1
2,5,3,2,4268,d,ship,high,f,1
3,5,2,2,4629,b,ship,medium,m,1
6,2,4,9,1385,f,flight,medium,f,0
2,2,3,22,6614,f,road,medium,f,1
3,3,3,7,4152,f,flight,low,m,0
4,3,4,9,4811,f,road,low,f,0
3,5,4,11,3464,b,ship,low,f,1
5,3,3,4,4914,a,road,medium,m,1
3,3,2,39,1328,f,flight,low,f,1
6,5,7,7,5216,d,ship,high,m,1
4,5,3,64,2386,b,ship,low,f,1
4,1,3,7,4386,f,ship,medium,f,1
3,3,6,2,4549,d,ship,low,f,0
4,1,3,53,2428,f,road,medium,m,1
3,2,2,3,5712,c,ship,medium,m,0
4,5,2,34,2258,a,ship,medium,f,1
3,3,3,2,5972,f,flight,medium,m,0
4,5,6,10,1156,f,ship,low,m,0
5,4,5,8,1927,d,ship,low,f,1
3,4,3,6,4247,f,ship,high,m,0
3,4,3,18,3127,a,ship,low,m,1
6,3,4,5,1108,f,ship,medium,m,1
4,2,6,3,4392,c,ship,low,f,1
5,2,3,60,1176,c,ship,medium,m,1
5,4,3,6,5221,b,ship,medium,m,0
5,5,4,9,1989,c,ship,low,m,0
4,2,3,4,5859,b,ship,medium,m,0
4,4,3,35,1234,f,ship,high,f,1
3,3,3,4,5536,f,ship,medium,m,0
4,5,3,4,5423,a,road,medium,f,0
3,4,2,8,1991,b,ship,medium,m,1
5,4,7,36,1179,c,flight,medium,f,1
4,1,3,7,5382,b,ship,medium,f,1
3,1,3,39,1838,f,road,medium,f,1
3,5,2,7,5331,c,road,medium,m,0
3,5,3,9,5275,b,ship,medium,f,1
5,2,4,1,1877,f,flight,medium,f,0
3,4,3,4,4051,c,ship,medium,f,0
5,5,6,4,1924,a,flight,medium,f,1
4,2,3,40,1021,f,flight,low,f,1
3,5,3,5,5657,a,ship,low,m,0
5,2,4,8,5627,a,ship,medium,m,1
3,1,4,10,4809,b,road,low,m,1
4,3,3,7,5496,f,road,low,f,0
3,4,2,7,5256,f,flight,low,m,1
3,5,2,37,1234,c,road,high,f,1
3,5,3,4,5413,b,ship,high,f,0
5,3,3,10,4597,f,ship,medium,f,0
5,3,6,5,5614,c,road,medium,f,1
3,2,3,6,2127,d,ship,medium,f,1
3,1,2,56,2069,f,ship,medium,f,1
4,5,4,28,1715,d,ship,medium,f,1
2,3,4,10,1648,a,road,low,f,1
3,5,3,9,5672,d,ship,low,f,1
5,1,4,38,2232,f,road,medium,f,1
4,3,5,7,4344,d,ship,medium,f,1
4,2,5,2,1186,d,road,medium,m,1
3,5,3,7,4013,d,flight,low,m,1
4,3,10,9,4179,c,road,low,f,0
3,3,7,9,5097,a,ship,high,f,0
4,5,3,20,3185,a,flight,medium,m,1
5,4,5,3,1861,c,road,low,f,1
5,4,2,9,3667,b,flight,medium,m,1
4,5,4,7,4938,d,road,medium,m,0
3,1,2,10,5594,a,flight,low,f,1
5,1,6,4,1123,f,ship,low,m,1
3,1,3,5,5316,f,flight,low,m,1
4,2,4,3,5340,c,flight,medium,m,0
3,5,2,8,4552,b,ship,medium,f,1
4,2,3,1,5338,a,ship,medium,m,0
4,1,4,1,5323,f,road,low,m,0
5,4,2,23,3960,a,flight,medium,f,1
4,5,3,9,1526,f,ship,low,m,1
4,2,6,10,1650,c,flight,low,f,1
5,2,3,8,4581,f,ship,medium,f,0
4,1,2,3,5258,f,ship,low,f,0
4,3,3,4,5068,b,flight,low,f,1
4,4,2,4,4724,c,ship,medium,f,0
3,3,2,10,5032,c,ship,medium,f,0
5,4,3,43,2685,f,ship,medium,f,1
4,2,4,1,3602,b,road,low,f,1
3,1,3,2,3963,b,road,medium,m,1
7,5,4,10,1067,f,ship,medium,f,0
3,2,3,56,2714,f,road,low,f,1
4,1,4,3,5295,c,flight,low,m,0
3,3,3,7,5197,f,ship,high,m,1
2,3,3,8,5119,f,ship,low,m,0
4,1,2,10,4714,f,flight,low,f,1
5,2,6,23,2016,c,flight,medium,m,1
3,4,3,2,4875,b,flight,low,f,0
3,3,4,3,5828,d,ship,medium,m,0
6,5,4,3,1009,d,ship,low,m,1
3,3,2,1,1829,a,flight,medium,f,1
3,1,4,25,1498,d,ship,low,f,1
5,3,5,6,1489,b,ship,low,m,0
4,3,3,5,2489,f,ship,medium,m,1
4,5,3,45,1059,f,ship,medium,m,1
4,2,2,1,5154,c,ship,medium,m,0
3,2,3,54,3972,a,ship,low,f,1
3,1,2,4,1748,b,ship,low,f,1
5,1,2,27,3569,b,ship,medium,m,1
5,3,5,2,1730,b,ship,low,m,0
3,4,3,4,5996,f,ship,high,f,0
6,1,4,2,1189,d,flight,medium,m,1
4,4,6,9,1322,f,flight,low,f,0
5,5,10,3,5391,c,ship,high,f,0
4,1,2,8,4600,b,road,low,m,1
2,5,5,63,1173,d,ship,low,m,1
5,3,5,10,1951,f,road,low,f,0
6,4,4,7,1706,a,ship,low,f,1
4,3,2,57,3741,d,road,medium,m,1
5,5,3,5,4520,f,ship,low,m,1
5,4,3,9,1051,f,ship,low,m,1
3,2,2,26,3103,a,road,high,m,1
3,1,3,6,5101,f,ship,high,f,0
4,5,5,6,1662,f,flight,medium,m,0
4,2,4,2,4422,d,flight,high,f,1
4,2,3,6,5787,f,ship,low,m,1
4,3,3,46,1072,f,ship,high,f,1
4,1,2,1,5917,d,ship,low,f,1
4,4,5,2,1329,d,ship,medium,f,1
4,5,6,5,5659,f,ship,high,f,1
6,4,4,9,1771,b,ship,low,m,1
5,5,4,7,1742,f,ship,low,f,0
4,3,5,18,3644,a,flight,low,m,1
2,5,3,31,7401,b,ship,medium,f,1
3,4,3,5,5169,f,road,medium,m,0
4,4,3,52,1367,f,ship,low,m,1
5,4,6,63,3151,d,ship,high,m,1
6,4,4,8,1301,d,ship,low,f,1
3,5,3,4,4268,f,ship,medium,m,1
4,3,2,2,4700,f,flight,medium,f,0
5,5,2,59,3238,b,road,medium,m,1
4,1,3,9,4443,c,ship,medium,m,0
4,3,3,7,4852,f,ship,medium,f,0
4,3,3,12,3539,d,ship,high,m,1
2,4,6,53,1213,b,road,low,f,1
4,4,4,5,5095,a,flight,medium,f,0
3,4,3,50,1068,c,road,medium,m,1
5,2,4,15,3330,f,flight,medium,m,1
3,1,3,57,3257,f,ship,low,f,1
6,3,4,3,4117,b,ship,low,f,1
5,1,4,6,1944,f,flight,low,f,1
4,3,3,5,4854,d,ship,medium,m,1
4,1,3,9,4930,c,road,medium,f,1
4,3,2,4,4955,f,ship,low,f,1
4,5,3,2,5692,b,flight,medium,m,0
4,5,3,8,4924,f,ship,medium,m,0
4,2,6,8,1096,b,ship,medium,m,1
2,5,3,5,4190,f,ship,low,m,0
3,5,2,1,5709,a,ship,medium,m,1
5,3,2,59,1837,c,ship,medium,m,1
4,5,2,60,1026,d,ship,low,m,1
4,5,2,18,2404,f,ship,medium,f,1
3,5,2,7,4449,c,ship,low,f,1
2,1,2,18,1839,b,flight,medium,f,1
4,4,3,3,5531,b,ship,low,m,1
4,4,5,2,1473,f,road,medium,f,0
3,1,3,58,1304,a,flight,low,m,1
7,1,4,6,1279,a,flight,medium,m,1
3,1,3,3,5866,f,ship,low,f,1
5,2,2,6,4661,f,ship,low,f,0
3,4,3,58,1443,f,road,medium,m,1
4,1,5,7,1922,f,flight,low,f,0
5,2,5,5,1323,c,ship,medium,m,0
5,4,2,10,5095,d,ship,medium,m,0
5,5,6,5,1418,f,ship,low,f,1
3,2,3,9,4731,f,flight,low,f,1
5,2,3,4,5415,f,ship,low,m,0
4,4,2,6,4855,c,road,low,f,1
3,3,3,8,4246,a,ship,low,m,0
4,5,2,1,5054,a,ship,medium,f,0
5,2,5,10,1924,c,road,low,f,0
6,2,4,7,1941,b,ship,low,m,0
3,3,2,4,4254,d,ship,medium,m,1
4,5,5,7,1983,f,ship,low,m,0
6,4,4,7,1172,d,flight,low,f,1
3,1,4,6,5037,f,ship,low,f,1
7,5,4,9,1393,b,ship,low,f,0
3,2,4,1,4745,b,ship,low,m,1
4,2,4,3,4887,c,ship,medium,m,1
6,4,4,9,1096,b,ship,medium,m,1
4,5,2,8,4512,f,flight,low,m,0
5,5,6,3,5051,d,ship,low,m,0
4,3,2,32,3709,c,ship,low,f,1
3,1,3,9,5004,f,ship,low,f,0
3,5,3,5,4314,b,ship,low,m,1
4,1,4,3,5318,f,ship,medium,m,1
3,4,2,14,3693,b,ship,low,f,1
4,5,3,10,4752,f,ship,low,f,1
3,2,4,3,4512,f,ship,medium,f,0
5,4,2,61,3084,d,ship,high,f,1
5,5,10,9,1724,b,ship,medium,m,1
4,2,6,9,1673,a,flight,low,f,1
3,4,2,38,2741,d,ship,medium,f,1
5,5,3,47,2256,a,ship,low,m,1
3,1,3,1,5392,a,ship,low,m,1
5,1,6,29,1039,f,ship,low,f,1
4,3,3,1,5454,d,ship,medium,m,0
4,5,6,7,4881,f,ship,medium,m,1
3,4,3,17,1212,a,ship,medium,f,1
3,2,3,44,2896,b,ship,low,f,1
3,1,3,4,4208,c,ship,medium,f,0
5,1,6,4,5337,c,flight,high,f,0
3,1,2,10,4828,a,ship,medium,f,0
3,4,2,10,5674,f,ship,low,f,1
5,5,4,3,4287,a,road,low,m,0
4,3,3,5,5791,c,ship,medium,m,0
3,3,3,44,3370,f,ship,low,m,1
4,2,2,15,2857,f,ship,medium,m,1
3,5,3,4,5919,c,road,low,m,0
5,5,5,6,1234,a,flight,low,m,0
4,2,3,13,2850,c,ship,medium,f,1
4,4,5,7,1049,d,ship,low,m,1
3,2,3,64,3233,b,ship,medium,f,1
3,3,3,33,3872,d,flight,low,f,1
4,3,5,9,1024,b,ship,medium,f,0
3,5,3,6,5319,b,ship,low,f,0
4,4,2,2,2008,d,ship,high,m,1
5,5,2,8,5111,c,ship,low,m,1
7,1,4,4,1543,f,ship,low,f,1
3,1,3,7,5818,f,ship,medium,f,0
2,5,4,34,3416,f,ship,low,m,1
3,2,3,11,1282,a,ship,medium,m,1
4,1,3,5,4118,d,ship,medium,m,1
3,3,2,7,4996,f,ship,low,m,1
7,1,4,5,1705,f,flight,medium,m,0
6,1,3,5,5621,c,road,low,m,1
4,4,2,10,4768,f,ship,low,f,1
5,3,5,7,1848,d,ship,high,m,0
6,3,4,6,1997,f,ship,low,f,1
4,2,2,50,1592,f,ship,medium,m,1
3,2,3,8,5831,b,ship,low,f,0
5,1,2,7,4944,c,ship,low,f,1
4,5,2,7,5800,a,ship,low,f,0
4,3,2,10,5523,c,ship,medium,f,1
3,5,4,6,4795,b,flight,low,m,1
4,4,3,2,5135,f,ship,medium,m,0
3,3,3,27,3648,f,flight,low,m,1
3,4,5,50,1540,f,ship,medium,f,1
6,4,5,5,1195,b,flight,low,m,1
4,5,2,28,3561,d,ship,medium,f,1
3,2,3,8,4982,c,ship,medium,f,1
6,3,5,8,1864,f,road,medium,f,1
6,4,4,1,1621,a,ship,low,f,0
5,1,5,2,1400,c,ship,low,m,1
3,2,3,1,5026,a,ship,medium,m,1
6,2,5,3,1969,f,ship,low,f,0
4,5,3,5,5213,a,flight,low,m,0
6,5,3,3,5709,a,road,low,f,1
5,2,3,40,1238,a,road,low,m,1
5,3,5,8,1493,c,ship,low,f,1
5,4,3,8,5076,a,road,low,m,1
4,1,5,2,1246,b,ship,low,f,0
4,2,5,1,1920,c,ship,medium,m,0
2,4,6,6,5080,d,road,low,f,1
3,4,2,5,4882,f,road,low,m,1
5,5,6,1,1761,d,ship,medium,m,0
5,1,3,6,2882,b,ship,low,m,1
3,1,3,9,1803,c,ship,medium,f,1
4,1,7,8,2193,c,ship,high,m,1
3,3,3,10,5696,f,ship,low,f,0
3,1,3,2,5154,a,ship,medium,m,1
5,1,5,6,1427,d,ship,low,m,0
5,3,3,10,5001,d,ship,medium,m,1
2,1,4,11,3614,b,ship,low,f,1
5,4,2,7,4413,f,ship,medium,f,0
2,3,4,34,3355,f,ship,low,m,1
3,1,3,6,4392,d,flight,medium,f,0
5,1,3,60,1883,c,ship,medium,f,1
4,3,4,29,1420,b,ship,low,m,1
3,2,3,4,1681,f,ship,medium,f,1
3,5,2,2,5839,a,road,low,m,0
5,4,4,4,4505,a,flight,low,m,0
4,1,2,6,5621,f,ship,low,f,0
5,2,3,9,4699,f,flight,low,m,1
4,2,4,61,2256,f,flight,low,f,1
5,2,4,21,1674,b,ship,low,m,1
5,2,2,46,3942,d,flight,medium,m,1
5,1,3,3,4907,d,ship,medium,f,1
5,1,4,6,5258,f,ship,high,m,1
3,1,2,5,5329,a,ship,low,m,1
5,5,5,4,1758,b,ship,low,m,0
6,5,5,9,4060,a,flight,high,m,0
4,1,6,8,4902,f,ship,high,m,1
5,2,5,1,1483,a,road,medium,m,0
3,1,3,21,1047,a,road,high,f,1
3,3,3,3,5157,a,ship,medium,m,0
4,2,3,4,4613,a,ship,medium,f,0
4,1,2,38,2368,f,flight,medium,m,1
5,1,5,6,4677,a,road,medium,f,0
2,4,3,34,1558,b,ship,low,f,1
3,5,2,46,2716,f,ship,medium,f,1
2,5,3,3,5785,f,ship,low,m,0
7,2,4,6,1006,b,ship,low,m,0
6,5,4,8,1347,a,road,low,f,1
4,5,2,2,4303,f,road,medium,f,1
4,4,3,8,4969,c,ship,low,f,1
3,1,3,27,1022,d,ship,medium,f,1
5,5,8,10,5759,a,ship,high,f,1
4,4,3,6,1386,d,ship,low,f,1
3,1,4,9,5211,a,flight,low,f,1
3,4,3,9,4725,f,ship,low,f,1
4,3,3,1,4323,a,ship,high,f,0
3,3,3,19,2167,f,road,medium,f,1
3,1,2,47,3678,f,ship,low,f,1
4,4,3,10,4505,f,ship,low,m,0
5,1,5,3,1642,f,ship,low,m,1
3,2,2,2,1010,c,ship,low,m,1
4,5,2,4,4789,f,road,medium,m,1
4,1,6,7,1007,f,road,low,m,0
7,3,4,1,1290,d,ship,low,f,1
4,5,2,4,5428,d,flight,low,f,0
5,2,3,1,5451,f,flight,medium,f,0
4,2,4,1,5922,f,road,low,f,1
3,5,2,5,1707,f,road,medium,m,0
3,2,6,9,5936,b,ship,low,m,0
4,2,2,10,5115,a,ship,medium,m,1
7,5,4,3,1107,f,road,low,f,0
5,2,3,11,2936,d,flight,medium,m,1
3,4,2,13,2733,f,ship,high,m,1
4,2,3,3,5920,f,road,low,f,0
3,1,3,10,4364,a,ship,high,f,0
6,1,4,10,1003,f,ship,medium,f,0
3,2,3,8,4994,f,ship,medium,f,0
4,1,5,3,1527,c,ship,medium,m,1
4,5,2,9,4108,b,ship,medium,f,0
4,4,4,3,5849,d,ship,low,m,1
4,3,6,59,2622,c,ship,low,f,1
5,3,2,9,4446,d,ship,high,f,0
3,1,6,7,4024,c,road,medium,f,0
4,4,5,6,5891,f,ship,medium,m,1
5,2,5,3,1242,c,ship,low,f,1
3,4,4,6,5964,f,flight,low,m,0
4,4,3,1,2761,b,road,medium,f,1
2,3,3,8,5106,b,ship,medium,m,1
2,4,3,6,4119,b,ship,medium,f,0
4,2,3,23,2994,b,flight,low,m,1
4,1,2,3,4657,b,road,low,m,0
2,1,3,1,5776,f,ship,low,m,1
4,1,4,8,4303,f,ship,medium,m,0
6,5,4,9,1922,c,ship,medium,f,1
4,2,6,1,1415,b,ship,low,m,1
4,3,5,1,1755,b,flight,low,m,0
4,2,2,23,1019,a,road,low,m,1
3,1,3,6,4081,a,ship,low,f,1
6,1,4,2,1783,f,flight,low,f,1
3,2,10,4,1665,c,ship,medium,f,1
2,3,3,51,3191,f,ship,medium,f,1
3,5,3,59,3651,b,ship,medium,m,1
6,3,6,3,4209,d,road,medium,m,0
5,3,5,47,1909,b,ship,medium,m,1
4,5,6,4,1451,d,ship,low,m,0
5,5,3,34,3455,d,flight,high,m,1
4,3,3,10,4433,f,ship,low,m,1
4,2,3,1,5815,f,ship,low,f,1
2,1,2,31,1078,c,ship,medium,f,1
3,4,4,10,4076,c,ship,medium,f,0
6,5,4,2,4073,c,ship,low,f,0
3,4,4,32,1238,a,flight,low,m,1
3,4,3,9,4436,f,ship,low,f,0
3,5,3,9,5412,f,ship,low,f,0
4,4,4,10,5024,f,ship,low,f,0
3,1,2,4,5262,a,ship,low,f,0
4,5,3,4,5344,b,road,medium,m,1
3,5,4,10,4151,f,flight,low,m,0
5,5,4,2,5359,c,ship,medium,f,0
3,5,2,1,4971,f,road,high,f,0
6,3,5,5,1657,d,flight,low,f,0
3,4,4,10,5495,f,flight,low,f,0
4,4,2,7,2551,d,flight,medium,f,1
3,4,2,5,5735,d,ship,medium,m,1
6,4,4,1,1384,d,road,low,f,0
3,2,3,4,5577,c,ship,medium,m,1
4,5,4,39,2381,f,ship,low,m,1
4,1,3,3,5618,b,ship,low,m,1
3,2,2,30,3928,c,ship,medium,m,1
4,3,5,8,1265,f,ship,medium,f,0
4,3,2,4,5997,f,ship,low,m,0
5,3,2,4,5588,c,flight,low,f,0
4,1,2,5,5249,b,ship,medium,f,0
6,5,10,48,1990,f,ship,medium,f,1
4,1,3,6,5215,d,flight,medium,f,0
4,2,2,10,4641,b,ship,medium,m,1
3,3,3,7,1901,f,ship,medium,m,1
4,5,2,1,4039,d,ship,low,m,0
5,3,3,6,4761,c,ship,low,m,1
3,1,4,6,5474,c,flight,low,m,0
4,3,5,2,1273,f,ship,low,m,1
4,1,4,9,5382,f,road,medium,f,0
7,1,4,4,1446,f,ship,low,m,0
2,5,3,19,1399,f,road,low,f,1
5,4,5,5,1867,b,flight,low,m,0
2,2,3,53,2980,f,ship,low,m,1
4,4,2,4,5112,d,ship,low,f,0
3,5,8,50,3628,a,flight,high,m,1
7,4,5,6,1334,c,ship,low,m,0
5,3,4,10,1317,f,ship,low,f,1
5,4,2,45,1664,c,road,medium,f,1
2,1,7,30,1870,a,ship,low,m,1
3,2,7,5,5985,c,ship,high,m,1
4,5,2,8,4422,d,ship,medium,f,0
6,4,5,9,1369,a,road,low,m,0
3,4,8,34,2750,f,ship,low,f,1
7,1,5,8,1776,b,ship,medium,m,0
3,1,4,9,5889,d,ship,low,f,0
5,2,5,4,1385,f,ship,medium,f,0
3,3,3,29,3261,d,flight,medium,m,1
4,4,3,5,5421,a,ship,low,f,0
4,2,5,3,1500,f,ship,medium,f,0
3,1,10,6,5603,a,road,medium,f,0
4,2,3,3,4130,c,ship,low,f,1
4,5,3,10,4921,f,flight,medium,m,1
3,1,3,6,5832,f,ship,medium,f,0
3,4,3,55,2923,a,ship,low,f,1
3,2,8,6,5637,a,ship,medium,m,1
4,3,6,5,4212,a,ship,medium,m,0
5,4,3,9,5401,f,ship,high,m,0
4,4,3,53,1472,f,ship,medium,m,1
5,5,2,36,1278,a,road,medium,f,1
5,5,5,7,1505,d,ship,low,f,0
5,1,3,21,2351,a,flight,high,m,1
4,4,4,33,2701,f,road,medium,f,1
3,3,3,4,4586,b,flight,low,m,0
5,5,5,1,5356,d,ship,medium,m,1
3,1,4,1,4608,f,ship,medium,f,0
5,4,3,10,4663,d,ship,medium,f,0
3,1,4,9,5193,d,ship,medium,f,0
2,1,5,4,1708,f,road,low,m,0
5,4,3,7,5677,c,ship,medium,f,1
6,3,4,3,1033,c,ship,high,f,0
4,5,3,5,5785,c,road,medium,m,1
3,3,4,57,3537,f,ship,medium,m,1
3,3,3,8,5070,b,ship,medium,f,0
3,4,10,5,5950,a,ship,low,m,1
3,5,3,4,4442,f,ship,medium,f,1
4,5,4,44,2551,d,ship,low,f,1
4,1,5,6,1874,f,ship,low,f,0
3,1,5,8,1349,d,ship,medium,f,1
3,4,3,7,5516,a,ship,high,m,1
4,5,3,10,4850,d,ship,medium,f,1
3,2,3,3,4181,f,ship,medium,f,0
4,1,5,1,1472,f,ship,medium,m,0
5,5,8,39,2905,c,ship,low,m,1
3,3,3,63,1946,b,ship,low,f,1
6,2,4,3,1116,b,road,high,f,0
4,3,5,10,1310,f,ship,low,f,0
4,2,3,8,5198,f,ship,medium,m,0
3,5,3,28,1815,f,ship,high,f,1
5,3,3,2,4678,a,ship,medium,f,1
5,3,4,7,4553,f,ship,low,m,0
5,2,4,4,5363,d,ship,medium,m,0
4,2,3,41,3498,c,ship,low,f,1
4,3,2,27,2034,c,flight,low,m,1
2,2,4,10,5972,b,ship,medium,m,0
7,3,4,3,1037,c,ship,low,f,1
5,3,3,7,4946,f,ship,low,f,0
4,2,4,8,5385,f,ship,low,m,0
6,4,4,7,1518,a,ship,low,f,1
4,4,3,7,5720,d,ship,low,m,0
4,4,6,3,4834,b,road,medium,f,0
5,2,3,8,5447,c,ship,low,m,1
3,2,3,3,5251,d,ship,medium,f,0
7,1,4,2,1504,f,ship,medium,f,0
5,1,3,64,1110,a,ship,medium,f,1
4,3,2,2,1399,c,ship,low,m,1
3,2,3,8,5287,d,ship,low,m,1
3,1,3,10,4358,c,ship,low,m,1
5,5,5,6,1887,c,ship,low,m,1
3,1,3,20,3181,c,road,low,f,1
3,5,2,31,2438,b,ship,medium,m,1
4,4,6,6,1758,a,ship,low,f,0
3,3,3,6,4247,a,ship,medium,f,1
5,1,3,9,5548,f,road,high,f,0
4,5,5,7,4063,a,ship,low,f,0
6,5,5,10,1133,b,ship,low,f,0
5,1,5,1,4730,f,road,medium,f,0
5,3,5,6,1082,f,flight,low,f,0
5,4,6,33,3955,f,road,low,m,1
5,2,10,53,1674,f,ship,medium,m,1
3,5,2,8,4914,f,ship,low,f,0
3,4,2,7,4663,a,ship,low,f,0
5,4,2,9,5658,c,road,low,m,1
4,1,4,4,2263,b,ship,low,m,1
4,2,4,13,2495,b,ship,low,f,1
6,5,4,5,1966,b,ship,low,m,1
3,5,2,4,5142,d,ship,low,m,0
4,2,2,1,5978,a,road,low,m,0
6,5,4,10,1553,d,ship,medium,f,0
4,4,3,4,5888,d,ship,low,f,0
3,2,2,7,4582,b,ship,low,f,1
3,1,3,8,5557,a,ship,medium,f,1
3,5,3,4,5659,c,flight,low,f,0
3,1,3,1,3738,f,ship,low,f,1
2,2,2,46,1130,d,ship,low,m,1
6,3,5,3,4596,d,road,medium,f,1
4,3,3,9,5556,b,ship,low,m,0
7,1,4,9,1261,b,ship,medium,m,1
3,3,2,58,2187,d,ship,medium,f,1
